image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7033025360107422;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.7033025360107422}, {'class': 'n02442845 mink', 'probability': 0.14747001647949218}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.03188647985458374}, {'class': 'n02364673 guinea_pig', 'probability': 0.028228931427001953}, {'class': 'n01883070 wombat', 'probability': 0.026262943744659425}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5076752471923828;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.5076752471923828}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.27419795989990237}, {'class': 'n02443114 polecat', 'probability': 0.1408964729309082}, {'class': 'n02342885 hamster', 'probability': 0.05543344974517822}, {'class': 'n02442845 mink', 'probability': 0.020845909118652344}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.548421630859375;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.548421630859375}, {'class': 'n02441942 weasel', 'probability': 0.22783998489379884}, {'class': 'n02808304 bath_towel', 'probability': 0.13581159591674805}, {'class': 'n02443114 polecat', 'probability': 0.07066155433654785}, {'class': 'n02442845 mink', 'probability': 0.005056012272834778}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.9061236572265625;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.9061236572265625}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.08006581306457519}, {'class': 'n02441942 weasel', 'probability': 0.013282470703125}, {'class': 'n02442845 mink', 'probability': 0.0004057634621858597}, {'class': 'n02509815 lesser_panda', 'probability': 6.743043195456266e-05}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5492839050292969;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5492839050292969}, {'class': 'n02443114 polecat', 'probability': 0.3566094207763672}, {'class': 'n02441942 weasel', 'probability': 0.07484325885772705}, {'class': 'n02442845 mink', 'probability': 0.018580068349838257}, {'class': 'n02445715 skunk', 'probability': 0.00024720191955566404}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.5689527893066406;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.5689527893066406}, {'class': 'n04067472 reel', 'probability': 0.08286218643188477}, {'class': 'n02641379 gar', 'probability': 0.07185439109802245}, {'class': 'n03000684 chain_saw', 'probability': 0.06846560478210449}, {'class': 'n01440764 tench', 'probability': 0.06195435523986816}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.6395016479492187;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.6395016479492187}, {'class': 'n02640242 sturgeon', 'probability': 0.1865201187133789}, {'class': 'n01440764 tench', 'probability': 0.1210207462310791}, {'class': 'n02514041 barracouta', 'probability': 0.03037238597869873}, {'class': 'n02641379 gar', 'probability': 0.010802922248840332}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9344658660888672;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9344658660888672}, {'class': 'n02526121 eel', 'probability': 0.04441287040710449}, {'class': 'n02514041 barracouta', 'probability': 0.011835308074951171}, {'class': 'n02536864 coho', 'probability': 0.0059778892993927}, {'class': 'n01632777 axolotl', 'probability': 0.0009558284282684326}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.8310015106201172;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.8310015106201172}, {'class': 'n02655020 puffer', 'probability': 0.09033775329589844}, {'class': 'n01443537 goldfish', 'probability': 0.03919468402862549}, {'class': 'n02640242 sturgeon', 'probability': 0.011317452192306518}, {'class': 'n02514041 barracouta', 'probability': 0.010561889410018921}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.07858706951141357;n03958227 plastic_bag;n01443537;[{'class': 'n03958227 plastic_bag', 'probability': 0.07858706951141357}, {'class': 'n04501370 turnstile', 'probability': 0.06644283294677734}, {'class': 'n03868863 oxygen_mask', 'probability': 0.050136537551879884}, {'class': 'n04023962 punching_bag', 'probability': 0.04452812194824219}, {'class': 'n02815834 beaker', 'probability': 0.04329368114471435}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.8178956604003906;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8178956604003906}, {'class': 'n02641379 gar', 'probability': 0.04768957614898681}, {'class': 'n02640242 sturgeon', 'probability': 0.045809636116027834}, {'class': 'n02514041 barracouta', 'probability': 0.034658889770507816}, {'class': 'n01440764 tench', 'probability': 0.024643254280090333}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9384772491455078;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9384772491455078}, {'class': 'n01491361 tiger_shark', 'probability': 0.026858286857604982}, {'class': 'n02134084 ice_bear', 'probability': 0.006772942543029785}, {'class': 'n01498041 stingray', 'probability': 0.004620696902275085}, {'class': 'n01943899 conch', 'probability': 0.003801867961883545}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.8410831451416015;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8410831451416015}, {'class': 'n01491361 tiger_shark', 'probability': 0.13340550422668457}, {'class': 'n01494475 hammerhead', 'probability': 0.020023834705352784}, {'class': 'n02640242 sturgeon', 'probability': 0.0030100199580192564}, {'class': 'n02066245 grey_whale', 'probability': 0.0007390777766704559}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.8373900604248047;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.8373900604248047}, {'class': 'n01491361 tiger_shark', 'probability': 0.13166677474975585}, {'class': 'n01498041 stingray', 'probability': 0.005130000114440918}, {'class': 'n01494475 hammerhead', 'probability': 0.003747880458831787}, {'class': 'n04592741 wing', 'probability': 0.002247515618801117}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9244831848144531;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9244831848144531}, {'class': 'n02640242 sturgeon', 'probability': 0.041609816551208496}, {'class': 'n02536864 coho', 'probability': 0.02270014762878418}, {'class': 'n01491361 tiger_shark', 'probability': 0.005709910988807678}, {'class': 'n02641379 gar', 'probability': 0.003560347557067871}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.7234642028808593;n02066245 grey_whale;n01484850;[{'class': 'n02066245 grey_whale', 'probability': 0.7234642028808593}, {'class': 'n02071294 killer_whale', 'probability': 0.17011465072631837}, {'class': 'n01484850 great_white_shark', 'probability': 0.05098453044891357}, {'class': 'n02077923 sea_lion', 'probability': 0.04473355770111084}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.0032800838351249697}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.5876288986206055;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.5876288986206055}, {'class': 'n01484850 great_white_shark', 'probability': 0.36046974182128905}, {'class': 'n01494475 hammerhead', 'probability': 0.021496005058288574}, {'class': 'n02536864 coho', 'probability': 0.01597018003463745}, {'class': 'n02640242 sturgeon', 'probability': 0.005436736345291138}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.39452320098876953;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.39452320098876953}, {'class': 'n01494475 hammerhead', 'probability': 0.3225512313842773}, {'class': 'n02077923 sea_lion', 'probability': 0.1374084758758545}, {'class': 'n01498041 stingray', 'probability': 0.0625069236755371}, {'class': 'n01873310 platypus', 'probability': 0.013517980575561523}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.4904975128173828;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.4904975128173828}, {'class': 'n01494475 hammerhead', 'probability': 0.4497737121582031}, {'class': 'n01484850 great_white_shark', 'probability': 0.05749158382415771}, {'class': 'n02640242 sturgeon', 'probability': 0.00145266056060791}, {'class': 'n02536864 coho', 'probability': 0.0005232127010822296}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.39832416534423826;n02536864 coho;n01494475;[{'class': 'n02536864 coho', 'probability': 0.39832416534423826}, {'class': 'n02514041 barracouta', 'probability': 0.1750883102416992}, {'class': 'n02640242 sturgeon', 'probability': 0.14583150863647462}, {'class': 'n04336792 stretcher', 'probability': 0.07205723285675049}, {'class': 'n01494475 hammerhead', 'probability': 0.027661941051483153}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.8868878936767578;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.8868878936767578}, {'class': 'n01491361 tiger_shark', 'probability': 0.0912191104888916}, {'class': 'n01484850 great_white_shark', 'probability': 0.01729804277420044}, {'class': 'n01496331 electric_ray', 'probability': 0.0017364543676376342}, {'class': 'n01632777 axolotl', 'probability': 0.0014139750599861144}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9911792755126954;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9911792755126954}, {'class': 'n01491361 tiger_shark', 'probability': 0.005808427929878235}, {'class': 'n01484850 great_white_shark', 'probability': 0.0021568529307842256}, {'class': 'n02640242 sturgeon', 'probability': 0.0007342004776000977}, {'class': 'n02536864 coho', 'probability': 4.7250515781342986e-05}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.3657273483276367;n04606251 wreck;n01494475;[{'class': 'n04606251 wreck', 'probability': 0.3657273483276367}, {'class': 'n01873310 platypus', 'probability': 0.07722238540649413}, {'class': 'n01494475 hammerhead', 'probability': 0.06581701278686523}, {'class': 'n03967562 plow', 'probability': 0.06164857387542724}, {'class': 'n02640242 sturgeon', 'probability': 0.05138224124908447}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00039588.JPEG;0.728229751586914;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.728229751586914}, {'class': 'n01491361 tiger_shark', 'probability': 0.1566901397705078}, {'class': 'n01484850 great_white_shark', 'probability': 0.11493865013122559}, {'class': 'n01496331 electric_ray', 'probability': 3.693622071295976e-05}, {'class': 'n04552348 warplane', 'probability': 3.0055779498070478e-05}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00007569.JPEG;0.996654281616211;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.996654281616211}, {'class': 'n03920288 Petri_dish', 'probability': 0.001004260703921318}, {'class': 'n01917289 brain_coral', 'probability': 0.0006268054991960526}, {'class': 'n03314780 face_powder', 'probability': 0.0002875244803726673}, {'class': 'n01910747 jellyfish', 'probability': 0.00019400425255298615}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00017196.JPEG;0.3631269073486328;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.3631269073486328}, {'class': 'n01494475 hammerhead', 'probability': 0.2419445037841797}, {'class': 'n01491361 tiger_shark', 'probability': 0.23385210037231446}, {'class': 'n01498041 stingray', 'probability': 0.10993571281433105}, {'class': 'n01484850 great_white_shark', 'probability': 0.024519705772399904}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00037260.JPEG;0.38588336944580076;n01917289 brain_coral;n01496331;[{'class': 'n01917289 brain_coral', 'probability': 0.38588336944580076}, {'class': 'n09256479 coral_reef', 'probability': 0.11096050262451172}, {'class': 'n02321529 sea_cucumber', 'probability': 0.06831660270690917}, {'class': 'n01768244 trilobite', 'probability': 0.044172415733337404}, {'class': 'n02526121 eel', 'probability': 0.037511978149414066}]
