image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.48240765929222107;n02870880 bookcase;n02443484;[{'probability': 0.48240765929222107, 'class': 'n02870880 bookcase'}, {'probability': 0.2615107297897339, 'class': 'n04590129 window shade'}, {'probability': 0.14392057061195374, 'class': 'n04070727 refrigerator, icebox'}, {'probability': 0.03476380556821823, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}, {'probability': 0.023073431104421616, 'class': 'n04201297 shoji'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7175215482711792;n07615774 ice lolly, lolly, lollipop, popsicle;n02443484;[{'probability': 0.7175215482711792, 'class': 'n07615774 ice lolly, lolly, lollipop, popsicle'}, {'probability': 0.10858854651451111, 'class': 'n04557648 water bottle'}, {'probability': 0.027624046429991722, 'class': 'n03983396 pop bottle, soda bottle'}, {'probability': 0.011739603243768215, 'class': 'n02124075 Egyptian cat'}, {'probability': 0.010064519941806793, 'class': 'n02992529 cellular telephone, cellular phone, cellphone, cell, mobile phone'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.8510499000549316;n02808304 bath towel;n02443484;[{'probability': 0.8510499000549316, 'class': 'n02808304 bath towel'}, {'probability': 0.041836123913526535, 'class': 'n02093647 Bedlington terrier'}, {'probability': 0.02873476967215538, 'class': 'n15075141 toilet tissue, toilet paper, bathroom tissue'}, {'probability': 0.021390024572610855, 'class': 'n03887697 paper towel'}, {'probability': 0.019225602969527245, 'class': 'n02869837 bonnet, poke bonnet'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.27046942710876465;n02441942 weasel;n02443484;[{'probability': 0.27046942710876465, 'class': 'n02441942 weasel'}, {'probability': 0.2403765767812729, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.18615153431892395, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.1497759371995926, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.03698210045695305, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.9504762887954712;n02120079 Arctic fox, white fox, Alopex lagopus;n02443484;[{'probability': 0.9504762887954712, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.020655779168009758, 'class': 'n02111889 Samoyed, Samoyede'}, {'probability': 0.012306025251746178, 'class': 'n02114548 white wolf, Arctic wolf, Canis lupus tundrarum'}, {'probability': 0.008344287984073162, 'class': 'n02104029 kuvasz'}, {'probability': 0.007465718314051628, 'class': 'n02111500 Great Pyrenees'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6371437907218933;n03958227 plastic bag;n01440764;[{'probability': 0.6371437907218933, 'class': 'n03958227 plastic bag'}, {'probability': 0.06826860457658768, 'class': 'n03938244 pillow'}, {'probability': 0.06538509577512741, 'class': 'n03457902 greenhouse, nursery, glasshouse'}, {'probability': 0.03315584734082222, 'class': 'n03788365 mosquito net'}, {'probability': 0.030435150489211082, 'class': 'n03065424 coil, spiral, volute, whorl, helix'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4375534653663635;n03124170 cowboy hat, ten-gallon hat;n01440764;[{'probability': 0.4375534653663635, 'class': 'n03124170 cowboy hat, ten-gallon hat'}, {'probability': 0.08435539901256561, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.07029549777507782, 'class': 'n04209133 shower cap'}, {'probability': 0.06470134109258652, 'class': 'n02640242 sturgeon'}, {'probability': 0.052485764026641846, 'class': 'n04259630 sombrero'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9861630797386169;n02526121 eel;n01440764;[{'probability': 0.9861630797386169, 'class': 'n02526121 eel'}, {'probability': 0.004929275251924992, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.003113341052085161, 'class': 'n01728572 thunder snake, worm snake, Carphophis amoenus'}, {'probability': 0.002160933567211032, 'class': 'n04553703 washbasin, handbasin, washbowl, lavabo, wash-hand basin'}, {'probability': 0.00040691738831810653, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.8685805797576904;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.8685805797576904, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.09639939665794373, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}, {'probability': 0.0072778393514454365, 'class': 'n01968897 chambered nautilus, pearly nautilus, nautilus'}, {'probability': 0.005510739050805569, 'class': 'n01950731 sea slug, nudibranch'}, {'probability': 0.0033230509143322706, 'class': 'n02607072 anemone fish'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.7763202786445618;n03788365 mosquito net;n01443537;[{'probability': 0.7763202786445618, 'class': 'n03788365 mosquito net'}, {'probability': 0.14372922480106354, 'class': 'n04209239 shower curtain'}, {'probability': 0.05249717831611633, 'class': 'n03958227 plastic bag'}, {'probability': 0.01573043502867222, 'class': 'n04209133 shower cap'}, {'probability': 0.0022584430407732725, 'class': 'n01494475 hammerhead, hammerhead shark'}]
