image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.3430659770965576;n04070727 refrigerator, icebox;n02443484;[{'probability': 0.3430659770965576, 'class': 'n04070727 refrigerator, icebox'}, {'probability': 0.20675668120384216, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}, {'probability': 0.043166384100914, 'class': 'n04501370 turnstile'}, {'probability': 0.03251810371875763, 'class': 'n04525305 vending machine'}, {'probability': 0.022700048983097076, 'class': 'n04590129 window shade'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.1420331746339798;n07615774 ice lolly, lolly, lollipop, popsicle;n02443484;[{'probability': 0.1420331746339798, 'class': 'n07615774 ice lolly, lolly, lollipop, popsicle'}, {'probability': 0.095704585313797, 'class': 'n02883205 bow tie, bow-tie, bowtie'}, {'probability': 0.038570601493120193, 'class': 'n03494278 harmonica, mouth organ, harp, mouth harp'}, {'probability': 0.03789158910512924, 'class': 'n03476991 hair spray'}, {'probability': 0.03615168482065201, 'class': 'n02786058 Band Aid'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.2518480122089386;n02869837 bonnet, poke bonnet;n02443484;[{'probability': 0.2518480122089386, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.1562480926513672, 'class': 'n02808304 bath towel'}, {'probability': 0.08162178844213486, 'class': 'n02963159 cardigan'}, {'probability': 0.03986237570643425, 'class': 'n03775071 mitten'}, {'probability': 0.037265293300151825, 'class': 'n02093647 Bedlington terrier'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.11490600556135178;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.11490600556135178, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.10288974642753601, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.09497260302305222, 'class': 'n02444819 otter'}, {'probability': 0.09367146342992783, 'class': 'n02447366 badger'}, {'probability': 0.07767603546380997, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.17781716585159302;n02120079 Arctic fox, white fox, Alopex lagopus;n02443484;[{'probability': 0.17781716585159302, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.15810997784137726, 'class': 'n02111889 Samoyed, Samoyede'}, {'probability': 0.13173343241214752, 'class': 'n02111500 Great Pyrenees'}, {'probability': 0.1269606351852417, 'class': 'n02105505 komondor'}, {'probability': 0.09447383880615234, 'class': 'n02104029 kuvasz'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.04450923576951027;n04355338 sundial;n01440764;[{'probability': 0.04450923576951027, 'class': 'n04355338 sundial'}, {'probability': 0.04324686899781227, 'class': 'n02965783 car mirror'}, {'probability': 0.0273507758975029, 'class': 'n01768244 trilobite'}, {'probability': 0.02661864459514618, 'class': 'n04371774 swing'}, {'probability': 0.018949519842863083, 'class': 'n04209133 shower cap'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.22116664052009583;n03124170 cowboy hat, ten-gallon hat;n01440764;[{'probability': 0.22116664052009583, 'class': 'n03124170 cowboy hat, ten-gallon hat'}, {'probability': 0.11149214953184128, 'class': 'n04259630 sombrero'}, {'probability': 0.08843410015106201, 'class': 'n04209133 shower cap'}, {'probability': 0.038326796144247055, 'class': 'n02883205 bow tie, bow-tie, bowtie'}, {'probability': 0.029481135308742523, 'class': 'n02869837 bonnet, poke bonnet'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.07834155857563019;n03388043 fountain;n01440764;[{'probability': 0.07834155857563019, 'class': 'n03388043 fountain'}, {'probability': 0.057405926287174225, 'class': 'n03891332 parking meter'}, {'probability': 0.0515730045735836, 'class': 'n02939185 caldron, cauldron'}, {'probability': 0.049863576889038086, 'class': 'n04049303 rain barrel'}, {'probability': 0.03866734355688095, 'class': 'n01930112 nematode, nematode worm, roundworm'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.055263735353946686;n03887697 paper towel;n01443537;[{'probability': 0.055263735353946686, 'class': 'n03887697 paper towel'}, {'probability': 0.054070524871349335, 'class': 'n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita'}, {'probability': 0.047637321054935455, 'class': 'n02111889 Samoyed, Samoyede'}, {'probability': 0.046082504093647, 'class': 'n03825788 nipple'}, {'probability': 0.04135531187057495, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.41675010323524475;n03788365 mosquito net;n01443537;[{'probability': 0.41675010323524475, 'class': 'n03788365 mosquito net'}, {'probability': 0.0911978930234909, 'class': 'n03958227 plastic bag'}, {'probability': 0.0698465034365654, 'class': 'n02815834 beaker'}, {'probability': 0.06803706288337708, 'class': 'n04209239 shower curtain'}, {'probability': 0.03371379151940346, 'class': 'n04557648 water bottle'}]
